Sequence Name	Annotation GO ID	Annotation GO Term	Annotation GO Category
XP_027842540.2	GO:0008076	voltage-gated potassium channel complex	Cellular Component
XP_027842540.2	GO:0051260	protein homooligomerization	Biological Process
XP_027842540.2	GO:0071805	potassium ion transmembrane transport	Biological Process
XP_027842542.2	GO:0003677	DNA binding	Molecular Function
XP_027842588.1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Molecular Function
XP_027842588.1	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	Molecular Function
XP_027842588.1	GO:0006355	regulation of DNA-templated transcription	Biological Process
XP_027843489.2	GO:0003676	nucleic acid binding	Molecular Function
XP_027843938.2	GO:0004197	cysteine-type endopeptidase activity	Molecular Function
XP_027843938.2	GO:0005615	extracellular space	Cellular Component
XP_027843938.2	GO:0005764	lysosome	Cellular Component
XP_027843938.2	GO:0050790	regulation of catalytic activity	Biological Process
XP_027843938.2	GO:0051603	proteolysis involved in protein catabolic process	Biological Process
XP_027845176.2	GO:0005515	protein binding	Molecular Function
XP_027845176.2	GO:0005737	cytoplasm	Cellular Component
XP_027845176.2	GO:0030488	tRNA methylation	Biological Process
XP_027845471.1	GO:0008010	structural constituent of chitin-based larval cuticle	Molecular Function
XP_027845471.1	GO:0062129	chitin-based extracellular matrix	Cellular Component
XP_027847094.2	GO:0016020	membrane	Cellular Component
XP_027847455.2	GO:0016020	membrane	Cellular Component
XP_027847455.2	GO:0022857	transmembrane transporter activity	Molecular Function
XP_027847455.2	GO:0055085	transmembrane transport	Biological Process
XP_027848134.2	GO:0005739	mitochondrion	Cellular Component
XP_027848134.2	GO:0016407	acetyltransferase activity	Molecular Function
XP_027848134.2	GO:0031405	lipoic acid binding	Molecular Function
XP_027848163.1	GO:0003993	acid phosphatase activity	Molecular Function
XP_027848163.1	GO:0052745	inositol phosphate phosphatase activity	Molecular Function
XP_027849686.2	GO:0004197	cysteine-type endopeptidase activity	Molecular Function
XP_027849686.2	GO:0005615	extracellular space	Cellular Component
XP_027849686.2	GO:0005764	lysosome	Cellular Component
XP_027849686.2	GO:0050790	regulation of catalytic activity	Biological Process
XP_027849686.2	GO:0051603	proteolysis involved in protein catabolic process	Biological Process
XP_027850270.2	GO:0000049	tRNA binding	Molecular Function
XP_027850270.2	GO:0002098	tRNA wobble uridine modification	Biological Process
XP_027850270.2	GO:0005634	nucleus	Cellular Component
XP_027850270.2	GO:0005737	cytoplasm	Cellular Component
XP_027850270.2	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	Molecular Function
XP_027850270.2	GO:0030488	tRNA methylation	Biological Process
XP_027850270.2	GO:0106335	tRNA (5-carboxymethyluridine(34)-5-O)-methyltransferase activity	Molecular Function
XP_027850286.2	GO:0016020	membrane	Cellular Component
XP_027850361.1	GO:0004197	cysteine-type endopeptidase activity	Molecular Function
XP_027850361.1	GO:0006624	vacuolar protein processing	Biological Process
XP_027850361.1	GO:0051603	proteolysis involved in protein catabolic process	Biological Process
XP_027850953.2	GO:0016020	membrane	Cellular Component
XP_027851197.1	GO:0004197	cysteine-type endopeptidase activity	Molecular Function
XP_027851197.1	GO:0005615	extracellular space	Cellular Component
XP_027851197.1	GO:0005764	lysosome	Cellular Component
XP_027851197.1	GO:0050790	regulation of catalytic activity	Biological Process
XP_027851197.1	GO:0051603	proteolysis involved in protein catabolic process	Biological Process
XP_027851774.2	GO:0004090	carbonyl reductase (NADPH) activity	Molecular Function
XP_027852119.1	GO:0003953	NAD+ nucleosidase activity	Molecular Function
XP_027852119.1	GO:0005515	protein binding	Molecular Function
XP_027852119.1	GO:0030425	dendrite	Cellular Component
XP_027852119.1	GO:0034128	negative regulation of MyD88-independent toll-like receptor signaling pathway	Biological Process
XP_027852119.1	GO:0035591	signaling adaptor activity	Molecular Function
XP_027852119.1	GO:0048678	response to axon injury	Biological Process
XP_027852147.2	GO:0003953	NAD+ nucleosidase activity	Molecular Function
XP_027852147.2	GO:0005515	protein binding	Molecular Function
XP_027852147.2	GO:0030425	dendrite	Cellular Component
XP_027852147.2	GO:0034128	negative regulation of MyD88-independent toll-like receptor signaling pathway	Biological Process
XP_027852147.2	GO:0035591	signaling adaptor activity	Molecular Function
XP_027852147.2	GO:0048678	response to axon injury	Biological Process
XP_027853289.1	GO:0005515	protein binding	Molecular Function
XP_050053018.1	GO:0004497	monooxygenase activity	Molecular Function
XP_050053018.1	GO:0005506	iron ion binding	Molecular Function
XP_050053018.1	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Molecular Function
XP_050053018.1	GO:0020037	heme binding	Molecular Function
XP_050053446.1	GO:0005509	calcium ion binding	Molecular Function
XP_050053446.1	GO:0005516	calmodulin binding	Molecular Function
XP_050053446.1	GO:0005543	phospholipid binding	Molecular Function
XP_050053446.1	GO:0007528	neuromuscular junction development	Biological Process
XP_050053446.1	GO:0016081	synaptic vesicle docking	Biological Process
XP_050053446.1	GO:0016082	synaptic vesicle priming	Biological Process
XP_050053446.1	GO:0016188	synaptic vesicle maturation	Biological Process
XP_050053446.1	GO:0017075	syntaxin-1 binding	Molecular Function
XP_050053446.1	GO:0019992	diacylglycerol binding	Molecular Function
XP_050053446.1	GO:0030672	synaptic vesicle membrane	Cellular Component
XP_050053446.1	GO:0031594	neuromuscular junction	Cellular Component
XP_050053446.1	GO:0035249	synaptic transmission, glutamatergic	Biological Process
XP_050053446.1	GO:0042734	presynaptic membrane	Cellular Component
XP_050053446.1	GO:0043195	terminal bouton	Cellular Component
XP_050053446.1	GO:0061789	dense core granule priming	Biological Process
XP_050053446.1	GO:0098831	presynaptic active zone cytoplasmic component	Cellular Component
XP_050053446.1	GO:0099525	presynaptic dense core vesicle exocytosis	Biological Process
XP_050053830.1	GO:0003723	RNA binding	Molecular Function
XP_050053841.1	GO:0016020	membrane	Cellular Component
XP_050053841.1	GO:0022857	transmembrane transporter activity	Molecular Function
XP_050053841.1	GO:0055085	transmembrane transport	Biological Process
XP_050055016.1	GO:0005615	extracellular space	Cellular Component
XP_050055016.1	GO:0016042	lipid catabolic process	Biological Process
XP_050055016.1	GO:0016298	lipase activity	Molecular Function
XP_050055236.1	GO:0004888	transmembrane signaling receptor activity	Molecular Function
XP_050055236.1	GO:0005231	excitatory extracellular ligand-gated monoatomic ion channel activity	Molecular Function
XP_050055236.1	GO:0005254	chloride channel activity	Molecular Function
XP_050055236.1	GO:0005886	plasma membrane	Cellular Component
XP_050055236.1	GO:0007165	signal transduction	Biological Process
XP_050055236.1	GO:0007268	chemical synaptic transmission	Biological Process
XP_050055236.1	GO:0042391	regulation of membrane potential	Biological Process
XP_050055236.1	GO:0043005	neuron projection	Cellular Component
XP_050055236.1	GO:0045202	synapse	Cellular Component
XP_050055236.1	GO:0050877	nervous system process	Biological Process
XP_050055236.1	GO:1902476	chloride transmembrane transport	Biological Process
XP_050055236.1	GO:1904315	transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	Molecular Function
XP_050055388.1	GO:0004252	serine-type endopeptidase activity	Molecular Function
XP_050055388.1	GO:0006508	proteolysis	Biological Process
XP_050056602.1	GO:0016020	membrane	Cellular Component
XP_050057222.1	GO:0016020	membrane	Cellular Component
XP_050057222.1	GO:0052689	carboxylic ester hydrolase activity	Molecular Function
XP_050057947.1	GO:0005576	extracellular region	Cellular Component
XP_050057947.1	GO:0008061	chitin binding	Molecular Function
XP_050057990.1	GO:0005518	collagen binding	Molecular Function
XP_050057990.1	GO:0005524	ATP binding	Molecular Function
XP_050057990.1	GO:0005886	plasma membrane	Cellular Component
XP_050057990.1	GO:0006468	protein phosphorylation	Biological Process
XP_050057990.1	GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	Biological Process
XP_050057990.1	GO:0010976	positive regulation of neuron projection development	Biological Process
XP_050057990.1	GO:0033674	positive regulation of kinase activity	Biological Process
XP_050057990.1	GO:0038062	protein tyrosine kinase collagen receptor activity	Molecular Function
XP_050057990.1	GO:0043235	receptor complex	Cellular Component
XP_050058306.1	GO:0003924	GTPase activity	Molecular Function
XP_050058306.1	GO:0005246	calcium channel regulator activity	Molecular Function
XP_050058306.1	GO:0005525	GTP binding	Molecular Function
XP_050058306.1	GO:0005886	plasma membrane	Cellular Component
XP_050058388.1	GO:0007009	plasma membrane organization	Biological Process
XP_050058388.1	GO:0016020	membrane	Cellular Component
XP_050058680.1	GO:0005737	cytoplasm	Cellular Component
XP_050058680.1	GO:0006508	proteolysis	Biological Process
XP_050058680.1	GO:0008270	zinc ion binding	Molecular Function
XP_050058680.1	GO:0042277	peptide binding	Molecular Function
XP_050058680.1	GO:0043171	peptide catabolic process	Biological Process
XP_050058680.1	GO:0070006	metalloaminopeptidase activity	Molecular Function
XP_050058682.1	GO:0005737	cytoplasm	Cellular Component
XP_050058682.1	GO:0006508	proteolysis	Biological Process
XP_050058682.1	GO:0008270	zinc ion binding	Molecular Function
XP_050058682.1	GO:0042277	peptide binding	Molecular Function
XP_050058682.1	GO:0043171	peptide catabolic process	Biological Process
XP_050058682.1	GO:0070006	metalloaminopeptidase activity	Molecular Function
XP_050060092.1	GO:0006623	protein targeting to vacuole	Biological Process
XP_050060092.1	GO:0019898	extrinsic component of membrane	Cellular Component
XP_050060092.1	GO:0045053	protein retention in Golgi apparatus	Biological Process
XP_050061813.1	GO:0016491	oxidoreductase activity	Molecular Function
XP_050062569.1	GO:0016491	oxidoreductase activity	Molecular Function
XP_050062931.1	GO:0003676	nucleic acid binding	Molecular Function
XP_050062931.1	GO:0003887	DNA-directed DNA polymerase activity	Molecular Function
XP_050062931.1	GO:0016020	membrane	Cellular Component
XP_050062931.1	GO:0042575	DNA polymerase complex	Cellular Component
XP_050062931.1	GO:0071897	DNA biosynthetic process	Biological Process
XP_050064072.1	GO:0004197	cysteine-type endopeptidase activity	Molecular Function
XP_050064072.1	GO:0005615	extracellular space	Cellular Component
XP_050064072.1	GO:0005764	lysosome	Cellular Component
XP_050064072.1	GO:0050790	regulation of catalytic activity	Biological Process
XP_050064072.1	GO:0051603	proteolysis involved in protein catabolic process	Biological Process
XP_050064073.1	GO:0004197	cysteine-type endopeptidase activity	Molecular Function
XP_050064073.1	GO:0005615	extracellular space	Cellular Component
XP_050064073.1	GO:0005764	lysosome	Cellular Component
XP_050064073.1	GO:0050790	regulation of catalytic activity	Biological Process
XP_050064073.1	GO:0051603	proteolysis involved in protein catabolic process	Biological Process
XP_050064095.1	GO:0005576	extracellular region	Cellular Component
XP_050064095.1	GO:0008061	chitin binding	Molecular Function
XP_050064102.1	GO:0005044	scavenger receptor activity	Molecular Function
XP_050064102.1	GO:0005515	protein binding	Molecular Function
XP_050064219.1	GO:0004497	monooxygenase activity	Molecular Function
XP_050064219.1	GO:0005506	iron ion binding	Molecular Function
XP_050064219.1	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Molecular Function
XP_050064219.1	GO:0020037	heme binding	Molecular Function
XP_050064644.1	GO:0005783	endoplasmic reticulum	Cellular Component
XP_050064644.1	GO:0006488	dolichol-linked oligosaccharide biosynthetic process	Biological Process
XP_050064644.1	GO:0106073	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity	Molecular Function
XP_050065370.1	GO:0003677	DNA binding	Molecular Function
XP_050065370.1	GO:0004803	transposase activity	Molecular Function
XP_050065370.1	GO:0006313	DNA transposition	Biological Process
XP_050066114.1	GO:0004672	protein kinase activity	Molecular Function
XP_050066114.1	GO:0005524	ATP binding	Molecular Function
XP_050066114.1	GO:0005634	nucleus	Cellular Component
XP_050066114.1	GO:0006468	protein phosphorylation	Biological Process
XP_050066114.1	GO:0007094	mitotic spindle assembly checkpoint signaling	Biological Process
XP_050066114.1	GO:0051754	meiotic sister chromatid cohesion, centromeric	Biological Process
XP_050066304.1	GO:0052689	carboxylic ester hydrolase activity	Molecular Function
XP_050066553.1	GO:0005515	protein binding	Molecular Function
YP_009048917.1	GO:0004129	cytochrome-c oxidase activity	Molecular Function
YP_009048917.1	GO:0005739	mitochondrion	Cellular Component
YP_009048917.1	GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	Biological Process
YP_009048917.1	GO:0016020	membrane	Cellular Component
